,subjid,quest,product,rating,gender,age,role
0,1,1,holiday,4,female,35,Chief Data Officer
1,1,1,car,4,female,35,Chief Data Officer
2,1,1,savings account,4,female,35,Chief Data Officer
3,1,1,present for a close relative,4,female,35,Chief Data Officer
4,1,1,energy supplier,3,female,35,Chief Data Officer
5,1,1,takeout lunch in a location you are unfamiliar with,3,female,35,Chief Data Officer
6,2,1,holiday,4,female,35,Professor
7,2,1,car,3,female,35,Professor
8,2,1,savings account,4,female,35,Professor
9,2,1,present for a close relative,4,female,35,Professor
10,2,1,energy supplier,3,female,35,Professor
11,2,1,takeout lunch in a location you are unfamiliar with,3,female,35,Professor
12,3,1,holiday,4,female,40,Chief Data Officer
13,3,1,car,4,female,40,Chief Data Officer
14,3,1,savings account,3,female,40,Chief Data Officer
15,3,1,present for a close relative,4,female,40,Chief Data Officer
16,3,1,energy supplier,3,female,40,Chief Data Officer
17,3,1,takeout lunch in a location you are unfamiliar with,3,female,40,Chief Data Officer
18,4,1,holiday,4,female,40,Professor
19,4,1,car,3,female,40,Professor
20,4,1,savings account,4,female,40,Professor
21,4,1,present for a close relative,3,female,40,Professor
22,4,1,energy supplier,3,female,40,Professor
23,4,1,takeout lunch in a location you are unfamiliar with,3,female,40,Professor
24,5,1,holiday,4,female,45,Chief Data Officer
25,5,1,car,4,female,45,Chief Data Officer
26,5,1,savings account,4,female,45,Chief Data Officer
27,5,1,present for a close relative,4,female,45,Chief Data Officer
28,5,1,energy supplier,3,female,45,Chief Data Officer
29,5,1,takeout lunch in a location you are unfamiliar with,3,female,45,Chief Data Officer
30,6,1,holiday,4,female,45,Professor
31,6,1,car,3,female,45,Professor
32,6,1,savings account,4,female,45,Professor
33,6,1,present for a close relative,4,female,45,Professor
34,6,1,energy supplier,3,female,45,Professor
35,6,1,takeout lunch in a location you are unfamiliar with,3,female,45,Professor
36,7,1,holiday,4,female,50,Chief Data Officer
37,7,1,car,4,female,50,Chief Data Officer
38,7,1,savings account,4,female,50,Chief Data Officer
39,7,1,present for a close relative,3,female,50,Chief Data Officer
40,7,1,energy supplier,3,female,50,Chief Data Officer
41,7,1,takeout lunch in a location you are unfamiliar with,3,female,50,Chief Data Officer
42,8,1,holiday,4,female,50,Professor
